#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 10:24:10.351
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.003360111940298508,-0.539083453389561,-0.0003592838050522708
-0.003358861940298508,-0.557618970151169,0.0006540375514857217
-0.003357611940298508,-0.5771655150997739,-2.151001953960667e-05
-0.003356361940298507,-0.5936789754873883,-0.000697057590564935
-0.003355111940298507,-0.6118774828533308,-0.0003592838050522708
-0.003353861940298508,-0.6283909432409452,-0.0003592838050522708
-0.003352611940298508,-0.6445673942328941,-0.0003592838050522708
-0.003351361940298508,-0.6614178640161742,-0.000697057590564935
-0.003350111940298508,-0.6775943150081229,-2.151001953960667e-05
-0.003348861940298508,-0.6941077753957374,-0.000697057590564935
-0.003347611940298508,-0.7096102075963551,-0.0003592838050522708
-0.003346361940298508,-0.7251126397969727,-0.0003592838050522708
-0.003345111940298507,-0.7399410532062591,-0.000697057590564935
-0.003343861940298508,-0.7537584384285488,-0.0003592838050522708
-0.003342611940298508,-0.7675758236508384,-2.151001953960667e-05
-0.003341361940298508,-0.7817302182687936,-0.000697057590564935
-0.003340111940298508,-0.7945365753040865,-2.151001953960667e-05
-0.003338861940298508,-0.8093649887133729,-2.151001953960667e-05
-0.003337611940298508,-0.8204862987703377,-0.0003592838050522708
-0.003336361940298508,-0.8326186370142994,0.0003162637659730575
-0.003335111940298507,-0.8450879846539266,-0.0003592838050522708
-0.003333861940298507,-0.8572203228978883,-2.151001953960667e-05
-0.003332611940298508,-0.8666565859765251,-2.151001953960667e-05
-0.003331361940298508,-0.8757558396594963,0.0003162637659730575
-0.003330111940298508,-0.8865401403207955,-0.000697057590564935
-0.003328861940298508,-0.8973244409820947,-2.151001953960667e-05
-0.003327611940298508,-0.9070977134563972,-0.0003592838050522708
-0.003326361940298508,-0.916533976535034,0.0003162637659730575
-0.003325111940298508,-0.9226001456570149,-0.0003592838050522708
-0.003323861940298507,-0.9313623899443205,-0.0003592838050522708
-0.003322611940298508,-0.9391136060446292,-2.151001953960667e-05
-0.003321361940298508,-0.9465278127492726,-0.001372605161590263
-0.003320111940298508,-0.9529309912669189,-0.0003592838050522708
-0.003318861940298508,-0.9583231415975686,-2.151001953960667e-05
-0.003317611940298508,-0.964726320115215,-0.000697057590564935
-0.003316361940298508,-0.9694444516545334,-2.151001953960667e-05
-0.003315111940298508,-0.974836601985183,-0.000697057590564935
-0.003313861940298507,-0.9792177241288358,-0.0003592838050522708
-0.003312611940298507,-0.9822508086898262,-0.0003592838050522708
-0.003311361940298508,-0.9856209026464822,-0.0003592838050522708
-0.003310111940298508,-0.990002024790135,-0.0003592838050522708
-0.003308861940298508,-0.990002024790135,-0.000697057590564935
-0.003307611940298508,-0.993372118746791,-0.0003592838050522708
-0.003306361940298508,-0.9940461375381222,-0.000697057590564935
-0.003305111940298508,-0.9947201563294534,-0.0003592838050522708
-0.003303861940298508,-0.9943831469337878,-0.000697057590564935
-0.003302611940298507,-0.9940461375381222,-0.000697057590564935
-0.003301361940298508,-0.9947201563294534,-0.001034831376077599
-0.003300111940298508,-0.9943831469337878,-0.001372605161590263
-0.003298861940298508,-0.9923610905597943,-2.151001953960667e-05
-0.003297611940298508,-0.9893280059988038,-2.151001953960667e-05
-0.003296361940298508,-0.986631930833479,-0.000697057590564935
-0.003295111940298508,-0.9839358556681542,-0.0003592838050522708
-0.003293861940298508,-0.9822508086898262,-2.151001953960667e-05
-0.003292611940298507,-0.9771956677548422,-2.151001953960667e-05
-0.003291361940298507,-0.9718035174241926,-2.151001953960667e-05
-0.003290111940298508,-0.968096414071871,0.0003162637659730575
-0.003288861940298508,-0.9637152919282181,-2.151001953960667e-05
-0.003287611940298508,-0.9576491228062374,-0.000697057590564935
-0.003286361940298508,-0.9509089348929253,-0.000697057590564935
-0.003285111940298508,-0.9438317375839477,-0.0003592838050522708
-0.003283861940298508,-0.9367545402749701,-0.000697057590564935
-0.003282611940298508,-0.9290033241746612,0.00132958512251105
-0.003281361940298507,-0.9205780892830212,-0.000697057590564935
-0.003280111940298508,-0.9118158449957157,-0.001034831376077599
-0.003278861940298508,-0.9027165913127444,-2.151001953960667e-05
-0.003277611940298508,-0.8949653752124356,-0.001034831376077599
-0.003276361940298508,-0.8855291121337987,-0.001034831376077599
-0.003275111940298508,-0.8737337832855027,-0.000697057590564935
-0.003273861940298508,-0.8632864920198691,-0.0003592838050522708
-0.003272611940298508,-0.8535132195455667,-0.0003592838050522708
-0.003271361940298507,-0.8407068625102738,-0.000697057590564935
-0.003270111940298507,-0.8285745242663122,-0.0003592838050522708
-0.003268861940298508,-0.8167791954180161,-2.151001953960667e-05
-0.003267611940298508,-0.8046468571740545,-2.151001953960667e-05
-0.003266361940298508,-0.7908294719517649,-2.151001953960667e-05
-0.003265111940298508,-0.7773490961251408,-0.000697057590564935
-0.003263861940298508,-0.7635317109028512,-0.0003592838050522708
-0.003262611940298508,-0.7500513350762272,-0.000697057590564935
-0.003261361940298508,-0.7352229216669407,0.0003162637659730575
-0.003260111940298507,-0.7203945082576543,-0.000697057590564935
-0.003258861940298508,-0.7059031042440335,-0.000697057590564935
-0.003257611940298508,-0.6890526344607534,-0.000697057590564935
-0.003256361940298508,-0.6735502022601357,-2.151001953960667e-05
-0.003255111940298508,-0.6566997324768558,-2.151001953960667e-05
-0.003253861940298508,-0.6401862720892413,-0.000697057590564935
-0.003252611940298508,-0.6226617835146301,-2.151001953960667e-05
-0.003251361940298508,-0.6064853325226812,-0.0003592838050522708
-0.003250111940298507,-0.5886238345524043,-0.001372605161590263
-0.003248861940298507,-0.5707623365821275,-0.000697057590564935
-0.003247611940298508,-0.5525638292161851,-0.001034831376077599
-0.003246361940298508,-0.534028312454577,-2.151001953960667e-05
-0.003245111940298508,-0.5161668144843001,0.0003162637659730575
-0.003243861940298508,-0.495946250744364,0.0003162637659730575
-0.003242611940298508,-0.4763997057957592,-0.0003592838050522708
-0.003241361940298508,-0.4578641890341512,-0.001034831376077599
-0.003240111940298508,-0.4386546534812119,-0.000697057590564935
-0.003238861940298507,-0.419108108532607,-0.0003592838050522708
-0.003237611940298508,-0.3995615635840022,0.0003162637659730575
-0.003236361940298508,-0.3790039904484006,-2.151001953960667e-05
-0.003235111940298508,-0.3587834267084645,-0.000697057590564935
-0.003233861940298508,-0.3375518347815316,-0.001034831376077599
-0.003232611940298508,-0.31699426164593,0.0003162637659730575
-0.003231361940298508,-0.2974477166973251,-0.0003592838050522708
-0.003230111940298508,-0.2762161247703923,-0.001034831376077599
-0.003228861940298507,-0.253636495260797,-2.151001953960667e-05
-0.003227611940298507,-0.2327419127295298,-0.000697057590564935
-0.003226361940298508,-0.2111733114069313,-0.001372605161590263
-0.003225111940298508,-0.1896047100843329,0.0003162637659730575
-0.003223861940298508,-0.1693841463443968,-0.001034831376077599
-0.003222611940298508,-0.1471415262304671,-0.000697057590564935
-0.003221361940298508,-0.1248989061165375,-0.0003592838050522708
-0.003220111940298508,-0.1040043235852702,-0.001034831376077599
-0.003218861940298508,-0.07973964709734693,-0.0003592838050522708
-0.003217611940298507,-0.05918207396174528,-0.000697057590564935
-0.003216361940298508,-0.03761347263914683,-2.151001953960667e-05
-0.003215111940298508,-0.01570786192088277,-2.151001953960667e-05
-0.003213861940298508,0.006534758193046893,-2.151001953960667e-05
